permReq(read=0, addr=0x1ffffdfff90, proc=1): INVALID -> INVALID_MODIFIED
busReq(req=1, addr=0x1ffff625af0, proc=0): INVALID -> INVALID
busReq(req=1, addr=0x1ffff625af0, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x1ffff625af0, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff625af0, proc=2): INVALID_SHARED -> SHARED
permReq(read=1, addr=0x1ffff625a40, proc=2): INVALID -> INVALID_SHARED
busReq(req=1, addr=0x1ffff625a40, proc=0): INVALID -> INVALID
busReq(req=1, addr=0x1ffff625a40, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x1ffff625a40, proc=3): SHARED -> SHARED
busReq(req=3, addr=0x1ffff625a40, proc=2): INVALID_SHARED -> SHARED
permReq(read=1, addr=0x1ffff625a40, proc=2): SHARED -> SHARED
permReq(read=1, addr=0x15555562050, proc=2): INVALID -> INVALID_SHARED
busReq(req=1, addr=0x1ffff61c160, proc=0): MODIFIED -> SHARED
busReq(req=1, addr=0x1ffff61c160, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x1ffff61c160, proc=2): INVALID -> INVALID
busReq(req=3, addr=0x1ffff61c160, proc=3): INVALID_SHARED -> SHARED
permReq(read=1, addr=0x1ffffdfff60, proc=3): INVALID -> INVALID_SHARED
busReq(req=1, addr=0x1ffffdfff60, proc=0): INVALID -> INVALID
busReq(req=1, addr=0x1ffffdfff60, proc=1): MODIFIED -> SHARED
busReq(req=1, addr=0x1ffffdfff60, proc=2): INVALID -> INVALID
busReq(req=3, addr=0x1ffffdfff60, proc=3): INVALID_SHARED -> SHARED
permReq(read=1, addr=0x1ffffdfff60, proc=3): SHARED -> SHARED
permReq(read=1, addr=0x1ffff61c160, proc=3): SHARED -> SHARED
permReq(read=0, addr=0x1ffff88e780, proc=3): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff8c3330, proc=1): MODIFIED -> INVALID
busReq(req=2, addr=0x1ffff8c3330, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff8c3330, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff8c3330, proc=0): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff8c3340, proc=0): MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffffdfff90, proc=0): MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff612090, proc=0): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffffdfff90, proc=0): MODIFIED -> INVALID
busReq(req=2, addr=0x1ffffdfff90, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffffdfff90, proc=3): INVALID -> INVALID
